seed,world,policy,delay,t_irrev,R,target_mi,mi_tolerance,adversarial_strength,catastrophe_severity,diversity_floor,channel_noise,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
9214,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779729099066,0.0,0.07389404315577565,0.8770373816452005,0.29119790266013795,0.4866898803815746,0.6901163358780822,4,6,0.4444444444444444,1.0,1.0,0.9782176781960035,0.8988420621226377
9215,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780209358749,0.0,0.07387699409525936,0.8770650903187064,0.2911773890422266,0.48666197379262094,0.6901169792888912,4,6,0.4444444444444444,1.0,1.0,0.9782423091735141,0.8991311024490464
9216,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779721014425,0.0,0.07389172008523254,0.8770411525725811,0.2911964262538104,0.48668784297392104,0.6901163882694543,4,6,0.4444444444444444,1.0,1.0,0.9775445432363984,0.890174343464741
9217,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779530389373,0.0,0.07390185689366212,0.8770247436631101,0.29120931229502356,0.48670538111732164,0.690115895663753,4,6,0.4444444444444444,1.0,1.0,0.9774570463970369,0.9060360034971254
9218,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779685826547,0.0,0.0738883503468743,0.8770466935140026,0.2911905162973498,0.48667993774867874,0.6901164643795895,4,6,0.4444444444444444,1.0,1.0,0.9763484861213012,0.8923989718876872
9219,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779438170685,0.0,0.07389284317238953,0.877039199502262,0.2911979046706089,0.4866897093978257,0.6901165530758664,4,6,0.4444444444444444,1.0,1.0,0.9768753170894583,0.9159808517322084
9220,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779980126305,0.0,0.07386942597024809,0.8770773546647834,0.29117157161779866,0.48665391385516327,0.690117259666382,4,6,0.4444444444444444,1.0,1.0,0.9775514553191875,0.8643062967027765
9221,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780068102612,0.0,0.07387465044093962,0.8770689170592472,0.2911749838980434,0.48665872149252704,0.6901170317050782,4,6,0.4444444444444444,1.0,1.0,0.9794686959918096,0.9320231646776526
9222,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780052616242,0.0,0.0738820235049102,0.8770569417815467,0.29118400032666286,0.486670998358826,0.6901167266645724,4,6,0.4444444444444444,1.0,1.0,0.9775490720995119,0.9063876424915789
9223,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779927566392,0.0,0.07388717632976244,0.8770485949210296,0.2911905512128414,0.4866799324633057,0.6901164756020336,4,6,0.4444444444444444,1.0,1.0,0.9792973648352218,0.9142244915600127
9224,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.562777978748326,0.0,0.07388421931751285,0.8770534288802562,0.29118813862640264,0.4866766135391598,0.6901165459645645,4,6,0.4444444444444444,1.0,1.0,0.97731746874695,0.9358654903155473
9225,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779962141086,0.0,0.07388112512922586,0.8770584154632555,0.29118355980763666,0.48667039557027647,0.6901167305508022,4,6,0.4444444444444444,1.0,1.0,0.9770096569224145,0.9204477719031463
9226,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779765980641,0.0,0.07388296572336296,0.8770553941062532,0.2911871703003283,0.4866752176093794,0.690116681216768,4,6,0.4444444444444444,1.0,1.0,0.9770186292752188,0.9358654903155473
9227,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779674711931,0.0,0.07389605764202922,0.8770341928468312,0.29119796800558917,0.48669015889913475,0.6901161642682575,4,6,0.4444444444444444,1.0,1.0,0.9786359929160977,0.9238265161146231
9228,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779425278842,0.0,0.07390043471257424,0.8770269006590395,0.2912056619319421,0.48670036915562204,0.6901162179921372,4,6,0.4444444444444444,1.0,1.0,0.9787827110587887,0.9084264491492303
9229,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779939771441,0.0,0.07387385505484033,0.8770701783752157,0.29117504486191054,0.48665873612830624,0.6901170968792146,4,6,0.4444444444444444,1.0,1.0,0.9777357310618938,0.9137181872182333
9200,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.593301477051155,0.00033747593352973675,0.6162244237328282,0.34522993033660704,0.29808135898639343,0.3723167465338482,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.966847755435197,0.578628894549938
9201,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.5526531810786159,0.0028872492824328177,0.6167132832679155,0.34467462829427004,0.2984980619987383,0.3730750440197721,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.9679676650295039,0.6264263493743724
9202,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.5774042640009909,0.004638452657725896,0.6167991457473964,0.3446156207536449,0.2984447758377323,0.37262508738410166,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.9683391935873131,0.5967216181936694
9203,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.48928489405453374,0.002053863977561254,0.6175658800590923,0.34385877229374484,0.29871937007555754,0.3723996894910778,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.9690436155698012,0.6340395212244126
9204,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.5267574443438474,0.0006348515659147032,0.617546069548878,0.34396343063300405,0.2987438033477264,0.37263172412985895,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.9680631659200394,0.6383905956614506
9205,T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.5447564908655581,0.00036578121763798405,0.6168779023869843,0.3445490719821774,0.2986463197735756,0.3731515710127883,0.6199768249710994,2,6,0.2222222222222222,1.0,1.0,0.9678037530912998,0.5797900507727685
