dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
8,0.25,5,consequence,3453,11.158187829633144,0.0027821939586645467,0.4610483637416739,0.34310413354531
8,0.25,5,ast_identity,10064,13.296916206877794,9.936406995230525e-05,1.0,1.0
8,0.25,6,feature,1015,9.665681804495271,0.0028089887640449437,0.05517241379310345,0.08385657633840053
8,0.25,6,consequence,5271,11.746521241138108,0.002313284864507601,0.6099411876304307,0.43547587574355584
8,0.25,6,ast_identity,12104,13.563196272212977,8.261731658955717e-05,1.0,1.0
8,0.35,1,feature,84,6.383574254440184,0.014215686274509804,0.0,0.041176470588235294
8,0.35,1,consequence,315,7.861339390642522,0.013235294117647059,0.08888888888888889,0.15441176470588236
8,0.35,1,ast_identity,2040,10.994353436859232,0.0004901960784313725,1.0,1.0
8,0.35,2,feature,168,7.345920818661182,0.008620689655172414,0.0,0.04259634888438134
8,0.35,2,consequence,807,9.094821012961113,0.006845841784989858,0.265179677819083,0.20461460446247465
8,0.35,2,ast_identity,3944,11.945443836378228,0.0002535496957403651,1.0,1.0
8,0.35,3,feature,280,8.075841230027553,0.005681818181818182,0.0,0.04679144385026738
8,0.35,3,consequence,2181,10.41808480144266,0.004512032085561497,0.5066483264557542,0.36447192513368987
