regime,seed,split,setting,capture_rate,lag,audit_period,horizon_harm,horizon_observation,R,true_permanence_hold,permanence_hold,failure,extinct,captured,time_to_failure,final_min_true_share,final_prod_true_share,final_true_corr_sa,final_corr_sa,corr_start,corr_end,mean_intervention_inside_floor,mean_intervention_outside_floor,mean_true_permanence,mean_corr_sa,capture_events,steps_run
geometric,4124,heldout,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,0,0,120,0.291737007955683,0.20662652614474877,-1.0,-1.0,0.9333333333333333,0.26666666666666666,1.0013793922351892,1.0016541916105326,0.9416666666666667,-0.05,0,120
geometric,4124,heldout,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,0,0,120,0.15108373422860275,0.12825743948014368,1.0,1.0,1.0,-0.8666666666666667,0.9911411329921979,0.9942789878502336,0.9666666666666667,-0.45,0,120
geometric,4124,heldout,r06,0.18,3,2,6,5,1.2,1,1,0,0,0,120,0.2392893920570592,0.18202997890602224,-1.0,-1.0,1.0,-0.7333333333333333,0.9914472046580721,0.0,1.0,-0.4166666666666667,0,120
geometric,4124,heldout,r07,0.14,2,2,8,4,2.0,1,1,0,0,0,120,0.2663706722113845,0.19541733719703966,1.0,1.0,1.0,-0.8666666666666667,0.9951328631570303,0.0,1.0,-0.4,0,120
geometric,4124,heldout,r08,0.1,1,2,10,3,3.3333333333333335,1,1,0,0,0,120,0.2685660676125557,0.19643833493968388,1.0,1.0,1.0,0.06666666666666667,0.9968594501784154,0.0,1.0,-0.21666666666666667,0,120
geometric,4124,heldout,r09,0.08,0,2,13,2,6.5,0,0,1,0,0,120,0.20333974291455517,0.16199269186599777,1.0,1.0,1.0,0.4,1.006086529511413,0.9686501888853337,0.9416666666666667,-0.13333333333333333,0,120
geometric,4125,heldout,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,41,1.0451178794519565e-09,1.0451178783596852e-09,-1.0,-1.0,1.0,-0.6,0.9882411089734209,0.9934795330623416,0.8809523809523809,0.5714285714285714,16,42
geometric,4125,heldout,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,58,1.0389024203565746e-09,1.0389024192772563e-09,-1.0,-1.0,0.9999999999999999,-0.5714285714285714,1.0094266603627775,0.9991129021441123,0.9152542372881356,0.4915254237288136,16,59
geometric,4125,heldout,r03,0.35,6,2,3,8,0.375,0,0,1,0,0,120,0.19275175001654812,0.15559851288210624,-1.0,-1.0,0.9333333333333333,-0.26666666666666666,1.0075708345903898,1.0131307825346734,0.8833333333333333,0.16666666666666666,0,120
geometric,4125,heldout,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,0,0,120,0.2514110959205322,0.18820355676856917,-0.9999999999999998,-0.9999999999999998,0.6666666666666666,-0.3333333333333333,0.9995146545020717,1.0040353988111073,0.8833333333333333,0.16666666666666666,0,120
geometric,4125,heldout,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,0,0,120,0.13066431309060922,0.11359115037516847,1.0,1.0,1.0,0.13333333333333333,0.9910419979025981,0.9972559117301552,0.7833333333333333,0.38333333333333336,0,120
geometric,4125,heldout,r06,0.18,3,2,6,5,1.2,0,0,1,0,0,120,0.22177712493802418,0.17259203179224822,1.0,1.0,1.0,-0.2,1.0027144645767836,0.9852811374722019,0.5,0.26666666666666666,0,120
geometric,4125,heldout,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,64,1.0491211251657165e-09,1.0491211240650613e-09,0.9999999999999998,0.9999999999999998,1.0,1.0,1.2338488401681236,0.9740371566665933,0.13846153846153847,1.0,0,65
geometric,4125,heldout,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,48,1.0509863739030197e-09,1.0509863727984474e-09,1.0,1.0,1.0,0.9999999999999999,1.2447162104085807,0.9833437303223818,0.16326530612244897,0.42857142857142855,0,49
geometric,4125,heldout,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,41,1.0501932218329122e-09,1.0501932207300065e-09,1.0,1.0,1.0,1.0,1.3396265882347602,0.9596094443081029,0.19047619047619047,0.3333333333333333,0,42
geometric,4126,heldout,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,25,1.0454690339084587e-09,1.0454690328154533e-09,1.0,1.0,1.0,1.0,0.9378402221177525,0.9358021899789007,0.9230769230769231,1.0,14,26
