class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
5a405e514d4554ea,P(N1 | do(N2)),60,60,1,2,2,60,1.0,1.0,0.08721908964969736,249,P(N1 | do(N2)),P_do,0.0916030534351145,0.3333333333333333,1.957464823193663e-05,4.0,0.1582683126127058,1.0,1.957464823193663e-05,6.234994804170997,0.3833421419250377,0.1288700514823362,0.5008129359642991,True,False,1.0,0.0
b728285b2ffb3555,P(N3 | do(N2)),15,15,1,2,2,15,1.0,1.0,0.021812112905511317,250,P(N3 | do(N2)),P_do,0.0229007633587786,0.3333333333333333,1.957464823193663e-05,4.0,0.1289455161454592,1.0,1.957464823193663e-05,1.254472271914132,0.3833421419250377,0.032217512870584,0.6216599625252344,,,,
8d380d339234504a,P(N0 | do(N3)),333,333,1,2,2,333,1.0,1.0,0.4840214152310928,251,P(N0 | do(N3)),P_do,0.5083969465648855,0.3333333333333333,1.957464823193663e-05,4.0,0.3361599445140018,1.0,1.957464823193663e-05,75.09243382274141,0.3833421419250377,0.7152287857269661,0.1154946537708123,True,True,,1.0
50460cde9bb67eb1,P(N1 | do(N3)),310,310,1,2,2,310,1.0,1.0,0.45059118267295317,251,P(N1 | do(N3)),P_do,0.4732824427480916,0.3333333333333333,1.957464823193663e-05,4.0,0.3211727374307423,1.0,1.957464823193663e-05,66.72203765227022,0.3833421419250377,0.665828599325404,0.2277584680674087,True,False,1.0,0.0
3100693433eb8c2d,P(N2 | do(N3)),338,338,1,2,2,338,1.0,1.0,0.4912888570915578,251,P(N2 | do(N3)),P_do,0.516030534351145,0.3333333333333333,1.957464823193663e-05,4.0,0.3394180330103625,1.0,1.957464823193663e-05,76.9746007930554,0.3833421419250377,0.7259679566838274,0.6216599625252344,True,False,1.0,0.0
c3733769bb8fc44f,"Blocked(N0, N1 | N2) || Independent(N0, N1 | N2)",4,2,2,3,3,8,1.0,0.0,0.40908170992072296,268,"Blocked(N0, N1 | N2) || Independent(N0, N1 | N2)",Blocked;Independent,0.0061068702290076,0.5,0.8123494663530739,6.0,0.5370558762037789,0.0,0.8123494663530739,0.2330939877826599,0.7766683709699944,0.0059750576957216,0.2019266984639396,,,,
c94a6b6406620b62,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)",44,27,2,3,3,88,1.0,0.0,0.44541891922304855,258,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)",Blocked;Independent,0.0671755725190839,0.5,0.8123494663530739,6.0,0.557124944639781,0.0,0.8123494663530739,2.9666070363744783,0.7766683709699944,0.0722663323273566,0.6605574078115255,True,False,1.0,0.5
0c8425cddbd39ea8,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)",3,2,2,3,3,6,1.0,0.0,0.40908170992072296,261,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)",Blocked;Independent,0.0045801526717557,0.5,0.8123494663530739,6.0,0.5368039678068324,0.0,0.8123494663530739,0.1762417956405478,0.7766683709699944,0.005135363039233,0.5378552948084301,,,,
6b0eb82d60bdd4b5,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)",39,24,2,3,3,78,1.0,0.0,0.4410584541067695,258,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)",Blocked;Independent,0.0595419847328244,0.5,0.8123494663530739,6.0,0.5546662747480715,0.0,0.8123494663530739,2.5898520084566594,0.7766683709699944,0.0641434404402627,0.5368039678068324,True,False,1.0,0.5
ff0f5147443f5bba,"Blocked(N0, N3 | N1) || Independent(N0, N3 | N1)",6,3,2,3,3,12,1.0,0.0,0.41053519829281604,267,"Blocked(N0, N3 | N1) || Independent(N0, N3 | N1)",Blocked;Independent,0.0091603053435114,0.5,0.8123494663530739,6.0,0.5379594022999976,0.0,0.8123494663530739,0.3520560070813551,0.7766683709699944,0.0089625865435824,0.1058789180803074,,,,
8384d4443a4611b4,"Blocked(N0, N3 | N2) || Independent(N0, N3 | N2)",4,2,2,3,3,8,1.0,0.0,0.40908170992072296,269,"Blocked(N0, N3 | N2) || Independent(N0, N3 | N2)",Blocked;Independent,0.0061068702290076,0.5,0.8123494663530739,6.0,0.5370558762037789,0.0,0.8123494663530739,0.2328257553456258,0.7766683709699944,0.0059750576957216,0.2180512146258597,,,,
b9282ee5dc6e9fbf,"Blocked(N1, N0 | N2) || Independent(N1, N0 | N2)",6,4,2,3,3,12,1.0,0.0,0.411988686664909,268,"Blocked(N1, N0 | N2) || Independent(N1, N0 | N2)",Blocked;Independent,0.0091603053435114,0.5,0.8123494663530739,6.0,0.5383591116023232,0.0,0.8123494663530739,0.3536598435323116,0.7766683709699944,0.0102707260784661,0.6248182843659388,,,,
