seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,containment_C,containment_duration,concentration_threshold,escrow_rate,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss
9410,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.11210823703645528,0.0,0.7974551552168821,0.17944273475635023,0.3146698903154129,0.6090319436850203,0.4679619093923729,8,6,0.8888888888888888,1.0,1.0,0.9537344706721733,0.8789863463619216,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61.02213356716692,0,0.0,0,61.02213356716692,0.0,0.218661709248353,0.264220098168563,0,0,2.530285886656521,2.53436712618737,0.0
9411,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.22027948007382583,0.0,0.7711247902062955,0.2054025587622679,0.2933834014722405,0.6121754562628481,0.47417245693621385,7,6,0.7777777777777778,1.0,1.0,0.9636403526635421,0.8699160947940296,0.0,0.0,0.0,0,0.0,0.0,0.0,0,62.55824434774122,0,0.0,0,62.55824434774122,0.0,0.18635200235257993,0.23863623859683344,0,0,2.255449147546783,2.2594719174903704,0.0
9412,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.11217795739822559,0.0,0.7965341098865014,0.18028260921903758,0.310722321240031,0.61326860063383,0.47109726082377673,8,6,0.8888888888888888,1.0,1.0,0.956868777391974,0.8541968157423399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60.97769710077709,0,0.0,0,60.97769710077709,0.0,0.2132337639914981,0.26010053737589545,0,0,2.4978083701321814,2.5019289403461475,0.0
9413,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2750571164436725,0.0,0.7623355594618589,0.21413535674625486,0.2867994668434447,0.6084678383989188,0.46847849273838527,6,6,0.6666666666666666,1.0,1.0,0.9643018575115324,0.8402934495902115,0.0,0.0,0.0,0,0.0,0.0,0.0,0,64.04877861936865,0,0.0,0,64.04877861936865,0.0,0.18530317666440535,0.23695054587667153,0,0,2.20003090262461,2.2039771374528305,0.0
9414,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00025736481216373237,0.0,0.8125692159037468,0.16429905532145075,0.31938686501523456,0.6207566998093914,0.4756699514038824,9,6,1.0,1.0,1.0,0.9506011139065709,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,59.58407109328073,0,0.0,0,59.58407109328073,0.0,0.21976394473129582,0.26577734002182274,0,0,2.5745044893993434,2.5786963706140176,0.0
9415,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.09014334159852659,0.0,0.7929602348136727,0.1836826347933738,0.30892459527493277,0.6243491331782696,0.467635065668811,8,6,0.8888888888888888,1.0,1.0,0.959719276207196,0.8338038218081649,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61.783289742837326,0,0.0,0,61.783289742837326,0.0,0.20400408738440093,0.2538692559086373,0,0,2.374671994362854,2.3786715446793028,0.0
9416,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.3381836803946883,0.0,0.7524791446502003,0.22377238360666163,0.2776254745717939,0.5941772075282136,0.4680282240990858,5,6,0.5555555555555556,1.0,1.0,0.9696681896310393,0.8470712129826103,0.0,0.0,0.0,0,0.0,0.0,0.0,0,66.0304459888027,0,0.0,0,66.0304459888027,0.0,0.17665611081543892,0.23012654343238728,0,0,1.996045823058256,1.9999296563984525,0.0
9417,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.15568124151934085,0.0,0.7767839115992704,0.19968211768900931,0.2931898407129043,0.61373248144007,0.4741805773088573,7,6,0.7777777777777778,1.0,1.0,0.964753560990366,0.8470712129826103,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63.53217893574835,0,0.0,0,63.53217893574835,0.0,0.19285096641400623,0.2444637360146446,0,0,2.2098248305201253,2.213746415733532,0.0
9418,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2002943652341871,0.0,0.7812885453644011,0.19520448864184722,0.2988536169537971,0.6167854453271118,0.46782088355664464,7,6,0.7777777777777778,1.0,1.0,0.9611242240328441,0.8699160947940296,0.0,0.0,0.0,0,0.0,0.0,0.0,0,62.406136039019174,0,0.0,0,62.406136039019174,0.0,0.19197645392310556,0.2436417706896073,0,0,2.2895002494409877,2.293577623144726,0.0
9419,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.21036190343518352,0.0,0.7790903382530318,0.1976577841364864,0.2994483220383197,0.6088248067443595,0.4705326016617314,7,6,0.7777777777777778,1.0,1.0,0.9597669358468852,0.8541968157423399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,62.856829014331545,0,0.0,0,62.856829014331545,0.0,0.20546601827134728,0.2536785166351002,0,0,2.374486777365458,2.3784356908011963,0.0
