class_id,k,persistence,class_size
5af5480f52cf5615,3,0.5,204
5af5480f52cf5615,4,0.5,204
3d44c118bbff65e9,0,1.0,203
3d44c118bbff65e9,1,1.0,203
3d44c118bbff65e9,2,0.0,203
3d44c118bbff65e9,3,0.0,203
3d44c118bbff65e9,4,0.0,203
bd14af00f41da381,0,1.0,203
bd14af00f41da381,1,1.0,203
bd14af00f41da381,2,0.0,203
bd14af00f41da381,3,0.0,203
bd14af00f41da381,4,0.0,203
4453fc0896b211ea,0,1.0,202
4453fc0896b211ea,1,1.0,202
4453fc0896b211ea,2,0.0,202
4453fc0896b211ea,3,0.0,202
4453fc0896b211ea,4,0.0,202
b49119c13665cce9,0,1.0,202
b49119c13665cce9,1,0.0,202
b49119c13665cce9,2,0.0,202
b49119c13665cce9,3,0.0,202
b49119c13665cce9,4,0.0,202
3e20939de73aa357,0,1.0,201
3e20939de73aa357,1,0.0,201
3e20939de73aa357,2,0.0,201
3e20939de73aa357,3,0.0,201
3e20939de73aa357,4,0.0,201
02045ee32d053013,0,1.0,197
02045ee32d053013,1,0.0,197
02045ee32d053013,2,0.0,197
02045ee32d053013,3,0.0,197
02045ee32d053013,4,0.0,197
b480fbcf99aa331c,0,1.0,197
b480fbcf99aa331c,1,0.5,197
b480fbcf99aa331c,2,0.5,197
b480fbcf99aa331c,3,0.5,197
b480fbcf99aa331c,4,0.5,197
3106fdec81eb7cf2,0,1.0,196
3106fdec81eb7cf2,1,0.0,196
3106fdec81eb7cf2,2,0.0,196
3106fdec81eb7cf2,3,0.0,196
3106fdec81eb7cf2,4,0.0,196
a11c2863198aa93b,0,1.0,195
a11c2863198aa93b,1,0.0,195
a11c2863198aa93b,2,0.0,195
a11c2863198aa93b,3,0.0,195
a11c2863198aa93b,4,0.0,195
cb7d67388749b3b5,0,1.0,195
cb7d67388749b3b5,1,0.0,195
cb7d67388749b3b5,2,0.0,195
cb7d67388749b3b5,3,0.0,195
cb7d67388749b3b5,4,0.0,195
e9fa4024f8762230,0,1.0,195
e9fa4024f8762230,1,0.5,195
e9fa4024f8762230,2,0.5,195
e9fa4024f8762230,3,0.5,195
e9fa4024f8762230,4,0.5,195
2b7f0d4e6e6eae6e,0,1.0,194
2b7f0d4e6e6eae6e,1,0.5,194
2b7f0d4e6e6eae6e,2,0.5,194
2b7f0d4e6e6eae6e,3,0.5,194
2b7f0d4e6e6eae6e,4,0.5,194
4c081c59a3909c3f,0,1.0,194
4c081c59a3909c3f,1,0.5,194
4c081c59a3909c3f,2,0.5,194
4c081c59a3909c3f,3,0.5,194
4c081c59a3909c3f,4,0.5,194
9ef5790eada8a129,0,1.0,194
9ef5790eada8a129,1,0.5,194
9ef5790eada8a129,2,0.5,194
9ef5790eada8a129,3,0.5,194
9ef5790eada8a129,4,0.5,194
4b5d05947b62026f,0,1.0,193
4b5d05947b62026f,1,1.0,193
4b5d05947b62026f,2,1.0,193
4b5d05947b62026f,3,1.0,193
4b5d05947b62026f,4,1.0,193
2b69a96860905434,0,1.0,192
2b69a96860905434,1,0.5,192
2b69a96860905434,2,0.5,192
2b69a96860905434,3,0.5,192
2b69a96860905434,4,0.5,192
87c14dd4a70303a3,0,1.0,192
87c14dd4a70303a3,1,0.0,192
87c14dd4a70303a3,2,0.0,192
87c14dd4a70303a3,3,0.0,192
87c14dd4a70303a3,4,0.0,192
87e639f5c9ed4c90,0,1.0,190
87e639f5c9ed4c90,1,0.5,190
87e639f5c9ed4c90,2,0.5,190
87e639f5c9ed4c90,3,0.5,190
87e639f5c9ed4c90,4,0.5,190
885e0775dbe82fcc,0,1.0,190
885e0775dbe82fcc,1,1.0,190
885e0775dbe82fcc,2,1.0,190
885e0775dbe82fcc,3,1.0,190
885e0775dbe82fcc,4,1.0,190
4499febacc3f222f,0,1.0,189
4499febacc3f222f,1,0.5,189
4499febacc3f222f,2,0.5,189
4499febacc3f222f,3,0.5,189
4499febacc3f222f,4,0.0,189
54ef6082de2ef264,0,1.0,189
54ef6082de2ef264,1,0.0,189
54ef6082de2ef264,2,0.0,189
54ef6082de2ef264,3,0.0,189
