cell_id,split,seed,experiment,policy,delay,t_irrev,R,adversarial_strength,camouflage_cost,audit_p,audit_C,audit_kappa,catastrophe_frequency,catastrophe_severity,mutation_rate,migration_cost,migration_speed,diversity_floor,channel_reliability,scavenger_enabled,future_shock,permanence,collapse,capture,dove_extinct,hawk_extinct,mutant_extinct,scavenger_extinct,resource_hhi,mean_welfare_final,min_zone_welfare,geometric_welfare,recovery_time,adversarial_share,dove_share,mutation_survival,diversity,false_positive_punishment,false_negative_aid_to_hawk,scavenger_exploitation,signal_truth_corr,mutual_information,audit_cost_share,collapse_step,population_final
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8105,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013483048234854172,0.951495441095304,0.035021510669445394,0.15896186138410756,0.0,0.0,0.0022058871253383596,0.3901560848327619,0.0,0.0,140,2522.3452434373344
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8106,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012465733125858197,0.9566160020437797,0.030918264829963443,0.14483736438806455,0.0,0.0,0.001991311281213335,0.3972822318473315,0.0,0.0,140,2508.8436685896113
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8107,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.016622539094574285,0.9559871408070607,0.027390320097966697,0.149492172777187,0.0,0.0,0.0027376140998264507,0.5015468869095491,0.0,0.0,140,2510.4940197970895
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8108,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013591229895350929,0.9568005715032531,0.029608198600997362,0.14527930906494266,0.0,0.0,0.0021382465780388294,0.4550956607308022,0.0,0.0,140,2508.3597057517886
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8109,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015564484579624713,0.9535078798149955,0.03092763560498236,0.1547621671996985,0.0,0.0,0.0024819908830820683,0.45385497368889577,0.0,0.0,140,2517.0216741834442
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9100,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013344198035253704,0.9520986018902626,0.03455720007408691,0.15745740712994286,0.0,0.0,0.0021463013548485904,0.4042659722441725,0.0,0.0,140,2520.7473209541254
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9101,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013035989338113065,0.9557727129027193,0.031191297758769453,0.14721364486766178,0.0,0.0,0.0021144062357812293,0.3688141342862538,0.0,0.0,140,2511.0572499084537
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9102,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013395317380922884,0.9476176761059717,0.03898700651271059,0.16794361629502552,0.0,0.0,0.0021817864226733445,0.3888973363684917,0.0,0.0,140,2532.6669821750575
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9103,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01319209077645425,0.9566463657825723,0.030161543440574888,0.14619922124394089,0.0,0.0,0.0021286928700865603,0.3628837848002792,0.0,0.0,140,2508.7640384602873
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9104,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014110295904000614,0.9506698440183055,0.03521986007729779,0.16060254771725543,0.0,0.0,0.0022836292137876093,0.49178505150190976,0.0,0.0,140,2524.53574192981
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9105,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01672735037829679,0.9531675233365199,0.03010512628478608,0.1554893564818439,0.0,0.0,0.0026016786278277725,0.4216968020887733,0.0,0.0,140,2517.920450749261
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9106,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01518597671201226,0.9538353102497189,0.030978713037871343,0.15243038968585412,0.0,0.0,0.0024337799511983146,0.4262684566464279,0.0,0.0,140,2516.1576366581708
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9107,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014396440977038842,0.9576976869351109,0.02790587208745124,0.14385090556487054,0.0,0.0,0.002351305079891912,0.4491803161567427,0.0,0.0,140,2506.0100204268897
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9108,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011306135638312715,0.957825557308434,0.03086830705285417,0.1419039825225935,0.0,0.0,0.0018033510327192005,0.35406203439993894,0.0,0.0,140,2505.675466358648
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9109,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012599055773057446,0.9582409692991182,0.02915997492742512,0.1411564713427735,0.0,0.0,0.0020057023930901605,0.3733768818702744,0.0,0.0,140,2504.589218048632
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,heldout,9110,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013846925154198558,0.950431791958593,0.0357212828868125,0.16139395482351263,0.0,0.0,0.002244773707640979,0.3800307754771215,0.0,0.0,140,2525.1680555142975
