class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
bd14af00f41da381,representation_only,203,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,203,"P(N2 | do(N1), N3)"
4453fc0896b211ea,representation_only,202,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,202,"P(N0 | do(N1), N3)"
b49119c13665cce9,representation_only,202,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,202,"P(N3 | do(N0), N1)"
3e20939de73aa357,representation_only,201,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,201,"P(N1 | do(N3), do(N2))"
02045ee32d053013,representation_only,197,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,197,"P(N0 | do(N2), N1)"
b480fbcf99aa331c,representation_only,197,4,False,,1.0,1.0,1.0,1.0,1.0,2,3,120,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)"
3106fdec81eb7cf2,representation_only,196,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,196,"P(N0 | do(N1), N2)"
a11c2863198aa93b,representation_only,195,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,195,"P(N3 | do(N0), N2)"
cb7d67388749b3b5,representation_only,195,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,195,"P(N0 | do(N3), N2)"
e9fa4024f8762230,representation_only,195,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,195,"P(N1 | do(N3), do(N0))"
2b7f0d4e6e6eae6e,representation_only,194,4,False,,1.0,1.0,1.0,1.0,1.0,2,3,120,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)"
4c081c59a3909c3f,representation_only,194,4,False,,1.0,1.0,1.0,1.0,1.0,2,3,119,"Blocked(N2, N0 | N3) || Independent(N2, N0 | N3)"
9ef5790eada8a129,representation_only,194,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,194,"P(N2 | do(N3), N1)"
4b5d05947b62026f,representation_only,193,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,193,"P(N3 | do(N2), N0)"
2b69a96860905434,representation_only,192,4,False,,1.0,1.0,1.0,1.0,1.0,2,3,118,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)"
87c14dd4a70303a3,representation_only,192,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,192,"P(N2 | do(N3), N0)"
87e639f5c9ed4c90,representation_only,190,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,190,"P(N3 | do(N1), N0)"
885e0775dbe82fcc,representation_only,190,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,190,"P(N3 | do(N2), N1)"
4499febacc3f222f,representation_only,189,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,189,"P(N3 | do(N1), N2)"
