class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
1014ee8f64ca04ec,theory_change,158,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,158,P(N5 | N0)
a75cb0b1f9c7f780,theory_change,158,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,110,"Ancestor(N2, N7) || Effect(N2 -> N7) || Reachable(N2, N7)"
6ec1dde5bf01adde,theory_change,157,2,True,2.0,0.25,1.0,0.0,0.0,0.0,1,2,157,P(N4 | N2)
c9729f40e5f3069d,theory_change,157,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,2,157,P(N3 | N4)
27046f7fbc9a85cb,theory_change,156,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,96,"Blocked(N3, N1 | N2) || Independent(N3, N1 | N2)"
7b6740531b41e33e,theory_change,156,4,True,2.0,0.625,1.0,0.5,0.5,0.5,3,1,96,"Ancestor(N6, N7) || Effect(N6 -> N7) || Reachable(N6, N7)"
3ab07d974c2c13c9,theory_change,155,2,True,2.0,0.25,1.0,0.0,0.0,0.0,1,2,155,P(N2 | N4)
e29313ae73b8a98a,theory_change,155,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,100,"Blocked(N2, N1 | N3) || Independent(N2, N1 | N3)"
f0fe9658e96aaa33,theory_change,154,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,100,"Ancestor(N7, N1) || Effect(N7 -> N1) || Reachable(N7, N1)"
265c28c7520c434f,theory_change,153,4,True,3.0,0.75,1.0,1.0,0.5,0.5,3,1,101,"Ancestor(N2, N6) || Effect(N2 -> N6) || Reachable(N2, N6)"
857b3c27b5df4d12,theory_change,153,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,63,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)"
749dcca641c13156,theory_change,152,4,True,2.0,0.625,1.0,0.5,0.5,0.5,3,1,100,"Ancestor(N7, N6) || Effect(N7 -> N6) || Reachable(N7, N6)"
78c7835cabe2a424,theory_change,152,4,True,2.0,0.625,1.0,0.5,0.5,0.5,3,1,96,"Ancestor(N7, N4) || Effect(N7 -> N4) || Reachable(N7, N4)"
c657e99ca35a3b1c,theory_change,152,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,103,"Ancestor(N5, N6) || Effect(N5 -> N6) || Reachable(N5, N6)"
d5004a458d5a5de6,theory_change,151,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,97,"Ancestor(N7, N0) || Effect(N7 -> N0) || Reachable(N7, N0)"
4cfe54014cfc790e,theory_change,150,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,150,P(N0 | N5)
