system,horizon,shape,count,fraction
A_dead_control,4,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> s(add(s(s(_)),mul(_,s(s(s(_)))))) -> s(s(add(s(_),mul(_,s(s(s(_))))))) -> s(s(s(add(_,mul(_,s(s(s(_)))))))) :: mul_succ;add_succ;add_succ;add_succ",78,0.0039
A_dead_control,4,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> s(add(s(s(_)),mul(_,s(s(s(_)))))) -> s(s(add(s(_),mul(_,s(s(s(_))))))) -> s(s(add(s(_),_))) :: mul_succ;add_succ;add_succ;mul_zero",77,0.00385
A_dead_control,4,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> s(add(s(_),mul(_,s(s(_))))) -> s(s(add(_,mul(_,s(s(_)))))) -> s(s(mul(_,s(s(_))))) :: mul_succ;add_succ;add_succ;add_zero",76,0.0038
A_dead_control,4,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> s(add(s(_),mul(s(s(_)),s(s(_))))) -> s(s(add(_,mul(s(s(_)),s(s(_)))))) -> s(s(add(_,add(s(s(_)),mul(s(_),s(s(_))))))) :: mul_succ;add_succ;add_succ;mul_succ",75,0.00375
A_dead_control,4,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) -> s(s(add(s(_),mul(s(s(_)),s(s(s(_))))))) -> s(s(s(add(_,mul(s(s(_)),s(s(s(_)))))))) :: mul_succ;add_succ;add_succ;add_succ",73,0.00365
A_dead_control,4,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> s(add(s(_),mul(_,s(s(_))))) -> s(s(add(_,mul(_,s(s(_)))))) -> s(s(add(_,_))) :: mul_succ;add_succ;add_succ;mul_zero",72,0.0036
A_dead_control,4,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> s(add(s(s(_)),mul(s(_),s(s(s(_)))))) -> s(s(add(s(_),mul(s(_),s(s(s(_))))))) -> s(s(add(s(_),add(s(s(s(_))),mul(_,s(s(s(_)))))))) :: mul_succ;add_succ;add_succ;mul_succ",71,0.00355
A_dead_control,4,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> s(add(s(_),mul(s(s(_)),s(s(_))))) -> s(s(add(_,mul(s(s(_)),s(s(_)))))) -> s(s(mul(s(s(_)),s(s(_))))) :: mul_succ;add_succ;add_succ;add_zero",66,0.0033
A_dead_control,4,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> s(add(s(s(_)),mul(s(_),s(s(s(_)))))) -> s(add(s(s(_)),add(s(s(s(_))),mul(_,s(s(s(_))))))) -> s(s(add(s(_),add(s(s(s(_))),mul(_,s(s(s(_)))))))) :: mul_succ;add_succ;mul_succ;add_succ",66,0.0033
A_dead_control,4,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> add(s(s(s(_))),add(s(s(s(_))),mul(_,s(s(s(_)))))) -> add(s(s(s(_))),add(s(s(s(_))),_)) -> s(add(s(s(_)),add(s(s(s(_))),_))) :: mul_succ;mul_succ;mul_zero;add_succ",63,0.00315
A_dead_control,4,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> s(add(_,mul(s(s(_)),s(_)))) -> s(add(_,add(s(_),mul(s(_),s(_))))) -> s(add(_,add(s(_),add(s(_),mul(_,s(_)))))) :: mul_succ;add_succ;mul_succ;mul_succ",63,0.00315
A_dead_control,4,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) -> s(add(s(s(_)),add(s(s(s(_))),mul(s(_),s(s(s(_))))))) -> s(add(s(s(_)),add(s(s(s(_))),add(s(s(s(_))),mul(_,s(s(s(_)))))))) :: mul_succ;add_succ;mul_succ;mul_succ",63,0.00315
A_dead_control,4,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> s(add(s(_),mul(s(s(_)),s(s(_))))) -> s(add(s(_),add(s(s(_)),mul(s(_),s(s(_)))))) -> s(add(s(_),add(s(s(_)),add(s(s(_)),mul(_,s(s(_))))))) :: mul_succ;add_succ;mul_succ;mul_succ",56,0.0028
A_dead_control,4,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) -> s(add(s(s(_)),add(s(s(s(_))),mul(s(_),s(s(s(_))))))) -> s(s(add(s(_),add(s(s(s(_))),mul(s(_),s(s(s(_)))))))) :: mul_succ;add_succ;mul_succ;add_succ",55,0.00275
A_dead_control,4,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) -> add(s(_),add(s(_),mul(_,s(_)))) -> add(s(_),add(s(_),_)) -> add(s(_),s(add(_,_))) :: mul_succ;mul_succ;mul_zero;add_succ",55,0.00275
A_dead_control,4,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> add(s(s(_)),add(s(s(_)),mul(_,s(s(_))))) -> add(s(s(_)),add(s(s(_)),_)) -> add(s(s(_)),s(add(s(_),_))) :: mul_succ;mul_succ;mul_zero;add_succ",53,0.00265
A_dead_control,4,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) -> s(add(_,mul(s(_),s(_)))) -> s(add(_,add(s(_),mul(_,s(_))))) -> s(add(_,s(add(_,mul(_,s(_)))))) :: mul_succ;add_succ;mul_succ;add_succ",52,0.0026
A_dead_control,4,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> s(add(s(_),mul(s(_),s(s(_))))) -> s(add(s(_),add(s(s(_)),mul(_,s(s(_)))))) -> s(s(add(_,add(s(s(_)),mul(_,s(s(_))))))) :: mul_succ;add_succ;mul_succ;add_succ",51,0.00255
A_dead_control,4,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> s(add(s(_),mul(s(s(_)),s(s(_))))) -> s(add(s(_),add(s(s(_)),mul(s(_),s(s(_)))))) -> s(s(add(_,add(s(s(_)),mul(s(_),s(s(_))))))) :: mul_succ;add_succ;mul_succ;add_succ",51,0.00255
A_dead_control,4,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> s(add(_,mul(s(s(_)),s(_)))) -> s(add(_,add(s(_),mul(s(_),s(_))))) -> s(add(s(_),mul(s(_),s(_)))) :: mul_succ;add_succ;mul_succ;add_zero",51,0.00255
A_dead_control,4,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> s(add(s(_),mul(s(_),s(s(_))))) -> s(add(s(_),add(s(s(_)),mul(_,s(s(_)))))) -> s(add(s(_),add(s(s(_)),_))) :: mul_succ;add_succ;mul_succ;mul_zero",50,0.0025
A_dead_control,4,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) -> s(add(s(s(_)),add(s(s(s(_))),mul(s(_),s(s(s(_))))))) -> s(add(s(s(_)),s(add(s(s(_)),mul(s(_),s(s(s(_)))))))) :: mul_succ;add_succ;mul_succ;add_succ",49,0.00245
A_dead_control,4,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> s(add(_,mul(s(s(_)),s(_)))) -> s(add(_,add(s(_),mul(s(_),s(_))))) -> s(add(_,s(add(_,mul(s(_),s(_)))))) :: mul_succ;add_succ;mul_succ;add_succ",49,0.00245
